"data_source","user_publadmin","user_research","user_private","use_adm_support","use_tech_rep","use_scientific"
ARPA-Liguria,yes,yes,yes,yes,yes,yes
ARPA-Sicilia,yes,yes,tmp,yes,req,req
ARPA-Lombardia,no,no,no,yes,req,req
DT-DA-SPAAS-UACER-Ticino,yes,yes,tmp,yes,req,req
ARPAC,yes,yes,yes,yes,yes,yes
ARPAV,yes,yes,tmp,req,req,req
ARPA-Umbria,yes,tmp,tmp,yes,yes,yes
ARPA-Piemonte,yes,yes,tmp,yes,yes,req
ARPA-FVG,yes,yes,tmp,yes,yes,req
ARPA-Puglia,yes,yes,tmp,yes,req,req
ARPA-Lazio,yes,yes,tmp,yes,yes,yes
ARPAT,yes,tmp,tmp,yes,req,req
ARPAB,tmp,tmp,tmp,req,req,req
ARPAE,yes,tmp,no,yes,yes,yes
ARSO-Slovenia,yes,yes,yes,yes,yes,yes
AZO-Croatia,yes,yes,yes,yes,yes,yes
Umweltbundesamt-Austria,yes,yes,yes,yes,yes,yes
ARPA-Marche,,,,,,
ARTA-Abruzzo,,,,,,
ANPE-Tunisia,,,,,,
SEPA-Serbia,yes,yes,yes,yes,yes,yes
