"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC11_0HmZ1t9g.","IT","001175800","Oulx",45.0348,6.83592,"IT1847A",1077,"traffic","suburban","automatic",3.05,18,10,"ARPA-Piemonte"
"ITC11_0IL71tQV.","IT","001270801","Susa",45.13911,7.05006,"IT1114A",499,"background","suburban","automatic",3,9,5,"ARPA-Piemonte"
"ITC11_0Iqc1uBS.","IT","001073800","Ceresole",45.43022,7.2454,"IT1963A",1576,"background","rural","automatic",4.8,6,159,"ARPA-Piemonte"
"ITC11_0Jdg1t5B.","IT","001171801","Orbassano",45.00687,7.54963,"IT1120A",268,"background","suburban","automatic",3.2,17,57,"ARPA-Piemonte"
"ITC11_0JfO1tWQ.","IT","001099800","Druento La Mandria",45.17577,7.5602,"IT1121A",335,"background","rural","automatic",3.05,26,1398,"ARPA-Piemonte"
"ITC11_0JiF1tFm.","IT","001090804","Collegno",45.07258,7.57793,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0JlQ1t8s.","IT","001024802","Beinasco",45.02981,7.5976,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0Jpz1tAp.","IT","001272822","Torino Rubino",45.04188,7.62593,"IT1877A",260,"background","urban","automatic",3.05,56,72,"ARPA-Piemonte"
"ITC11_0Jre1swD.","IT","001309801","Vinovo",44.95131,7.63615,NA,NA,"background","suburban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0Jti1t85.","IT","001272806","Torino Lingotto",45.02494,7.64905,"IT2168A",243,"background","urban","automatic",3.05,7,40,"ARPA-Piemonte"
"ITC11_0JvA1tT0.","IT","001028801","Borgaro Torinese",45.15464,7.65804,"IT1128A",257,"background","suburban","automatic",3.1,23,7,"ARPA-Piemonte"
"ITC11_0JyQ1tGI.","IT","001272803","Torino Consolata",45.07585,7.67822,"IT0469A",243,"traffic","urban","automatic",2.2,3,1,"ARPA-Piemonte"
"ITC11_0K1C1tKr.","IT","001272805","Torino Rebaudengo",45.10407,7.69536,"IT0470A",23,"traffic","urban","automatic",3.05,23,18,"ARPA-Piemonte"
"ITC11_0K3o1tWW.","IT","001130800","Leini",45.17635,7.71158,"IT2117A",246,"background","suburban","automatic",3.27,29,52,"ARPA-Piemonte"
"ITC11_0K4C1sfT.","IT","001059802","Carmagnola",44.84754,7.714,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0KEY1tRA.","IT","001265802","Settimo Torinese",45.1432,7.77818,"IT1130A",202,"traffic","urban","automatic",3.05,1,5,"ARPA-Piemonte"
"ITC11_0KGv1tFk.","IT","001018800","Baldissero Torinese",45.07236,7.79288,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0KO71t4W.","IT","001078802","Chieri",45.00276,7.83748,"IT2101A",271,"background","suburban","automatic",3.05,9,1,"ARPA-Piemonte"
"ITC11_0KUe1uEq.","IT","001125802","Ivrea",45.4512,7.87804,"IT1788A",240,"background","suburban","automatic",3.05,36,33,"ARPA-Piemonte"
"ITC12_0KvK1tpb.","IT","002042800","Cigliano",45.29475,8.04339,"IT2116A",211,"traffic","rural","automatic",3.28,21,22,"ARPA-Piemonte"
"ITC12_0LrE1ttV.","IT","002158803","Vercelli Coni",45.31891,8.40236,"IT1878A",131,"background","suburban","automatic",3.37,46,12,"ARPA-Piemonte"
"ITC12_0LtH1tv2.","IT","002158800","Vercelli Gastaldi",45.32842,8.41514,"IT1533A",130,"traffic","urban","automatic",3.3,19,7,"ARPA-Piemonte"
"ITC12_0LY31uv6.","IT","002016800","Borgosesia",45.71317,8.28353,"IT1532A",344,"background","urban","automatic",3.27,12,20,"ARPA-Piemonte"
"ITC13_0Kwa1uX4.","IT","002012803","Biella LaMarmora",45.56417,8.05122,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC13_0KxQ1uWC.","IT","002012802","Biella Sturzo",45.55882,8.05639,"IT1247A",405,"background","urban","automatic",3.2,10,9,"ARPA-Piemonte"
"ITC13_0LE61unC.","IT","002149801","Trivero",45.66423,8.15981,"IT2104A",666,"background","suburban","automatic",3.33,13,79,"ARPA-Piemonte"
"ITC13_0LIa1uXr.","IT","002046800","Cossato",45.56911,8.18761,"IT1246A",271,"background","urban","automatic",3.43,13,8,"ARPA-Piemonte"
"ITC14_0LTb1wU8.","IT","003010800","Baceno",46.31478,8.25592,"IT1961A",1639,"background","rural","automatic",5,10,52,"ARPA-Piemonte"
"ITC14_0LtN1vP2.","IT","003110801","Omegna",45.89885,8.41574,"IT2102A",259,"traffic","urban","automatic",3.25,4,16,"ARPA-Piemonte"
"ITC14_0LVi1vhF.","IT","003118800","Pieve Vergonte",46.01172,8.269,NA,NA,"background","suburban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC14_0LZR1vzw.","IT","003061801","Domodossola",46.12761,8.29212,"IT2128A",281,"background","suburban","automatic",3.35,24,10,"ARPA-Piemonte"
"ITC14_0MHX1vU7.","IT","003156801","Verbania",45.93034,8.56548,"IT1510A",203,"background","urban","automatic",3.2,13,6,"ARPA-Piemonte"
"ITC15_0M0G1urG.","IT","003024802","Borgomanero",45.68943,8.45844,"IT2121A",301,"traffic","urban","automatic",3.25,14,10,"ARPA-Piemonte"
"ITC15_0MkD1uCb.","IT","003149800","Trecate",45.43728,8.74333,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC15_0MNT1uv9.","IT","003043800","Castelletto Ticino",45.71353,8.60232,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC15_0MQH1uD5.","IT","003106804","Novara Roma",45.44034,8.61969,"IT1676A",157,"traffic","urban","automatic",3.2,1,18,"ARPA-Piemonte"
"ITC15_0MQQ1uCl.","IT","003106803","Novara Verdi",45.43831,8.62061,"IT1518A",154,"background","urban","automatic",3.2,7,90,"ARPA-Piemonte"
"ITC15_0Mr91u89.","IT","003049800","Cerano",45.40973,8.78632,"IT1509A",124,"background","suburban","automatic",3.2,18,65,"ARPA-Piemonte"
"ITC15_0MUN1ubn.","IT","003108801","Oleggio",45.5935,8.64508,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
