"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC11_0IL71tQV.","IT","001270801","Susa",45.13911,7.05006,"IT1114A",499,"background","suburban","automatic",3,9,5,"ARPA-Piemonte"
"ITC11_0Iqc1uBS.","IT","001073800","Ceresole",45.43022,7.2454,"IT1963A",1576,"background","rural","automatic",4.8,6,159,"ARPA-Piemonte"
"ITC11_0Jdg1t5B.","IT","001171801","Orbassano",45.00687,7.54963,"IT1120A",268,"background","suburban","automatic",3.2,17,57,"ARPA-Piemonte"
"ITC11_0JfO1tWQ.","IT","001099800","Druento La Mandria",45.17577,7.5602,"IT1121A",335,"background","rural","automatic",3.05,26,1398,"ARPA-Piemonte"
"ITC11_0Jpz1tAp.","IT","001272822","Torino Rubino",45.04188,7.62593,"IT1877A",260,"background","urban","automatic",3.05,56,72,"ARPA-Piemonte"
"ITC11_0Jre1swD.","IT","001309801","Vinovo",44.95131,7.63615,NA,NA,"background","suburban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0Jti1t85.","IT","001272806","Torino Lingotto",45.02494,7.64905,"IT2168A",243,"background","urban","automatic",3.05,7,40,"ARPA-Piemonte"
"ITC11_0JvA1tT0.","IT","001028801","Borgaro Torinese",45.15464,7.65804,"IT1128A",257,"background","suburban","automatic",3.1,23,7,"ARPA-Piemonte"
"ITC11_0K3o1tWW.","IT","001130800","Leini",45.17635,7.71158,"IT2117A",246,"background","suburban","automatic",3.27,29,52,"ARPA-Piemonte"
"ITC11_0KGv1tFk.","IT","001018800","Baldissero Torinese",45.07236,7.79288,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0KO71t4W.","IT","001078802","Chieri",45.00276,7.83748,"IT2101A",271,"background","suburban","automatic",3.05,9,1,"ARPA-Piemonte"
"ITC11_0KUe1uEq.","IT","001125802","Ivrea",45.4512,7.87804,"IT1788A",240,"background","suburban","automatic",3.05,36,33,"ARPA-Piemonte"
"ITC12_0LrE1ttV.","IT","002158803","Vercelli Coni",45.31891,8.40236,"IT1878A",131,"background","suburban","automatic",3.37,46,12,"ARPA-Piemonte"
