"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC11_0Iqc1uBS.","IT","001073800","Ceresole",45.43022,7.2454,"IT1963A",1576,"background","rural","automatic",4.57,6,159,"ARPA-Piemonte"
"ITC11_0J4O1sli.","IT","001191801","Pinerolo",44.88615,7.3308,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0JlQ1t8s.","IT","001024802","Beinasco",45.02981,7.5976,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0Jpz1tAp.","IT","001272822","Torino Rubino",45.04188,7.62593,"IT1877A",260,"background","urban","active",3.45,56,72,"ARPA-Piemonte"
"ITC11_0Jti1t85.","IT","001272806","Torino Lingotto",45.02494,7.64905,"IT2168A",243,"background","urban","active",3.45,7,40,"ARPA-Piemonte"
"ITC11_0K1C1tKr.","IT","001272805","Torino Rebaudengo",45.10407,7.69536,"IT0470A",23,"traffic","urban","automatic",3.45,23,18,"ARPA-Piemonte"
"ITC11_0K3o1tWW.","IT","001130800","Leini",45.17635,7.71158,"IT2117A",246,"background","suburban","automatic",4.18,29,52,"ARPA-Piemonte"
"ITC11_0KGv1tFk.","IT","001018800","Baldissero Torinese",45.07236,7.79288,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC12_0KvK1tpb.","IT","002042800","Cigliano",45.29475,8.04339,"IT2116A",211,"traffic","rural","automatic",3.62,21,22,"ARPA-Piemonte"
"ITC12_0LtH1tv2.","IT","002158800","Vercelli Gastaldi",45.32842,8.41514,"IT1533A",130,"traffic","urban","automatic",3.9,19,7,"ARPA-Piemonte"
"ITC13_0KxQ1uWC.","IT","002012802","Biella Sturzo",45.55882,8.05639,"IT1247A",405,"background","urban","active",3.7,10,9,"ARPA-Piemonte"
"ITC14_0LtN1vP2.","IT","003110801","Omegna",45.89885,8.41574,"IT2102A",259,"traffic","urban","automatic",4.3,4,16,"ARPA-Piemonte"
"ITC15_0M0G1urG.","IT","003024802","Borgomanero",45.68943,8.45844,"IT2121A",301,"traffic","urban","automatic",4.05,14,10,"ARPA-Piemonte"
"ITC15_0MNT1uv9.","IT","003043800","Castelletto Ticino",45.71353,8.60232,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC15_0MQQ1uCl.","IT","003106803","Novara Verdi",45.43831,8.62061,"IT1518A",154,"background","urban","active",1.8,7,90,"ARPA-Piemonte"
"ITC15_0MUN1ubn.","IT","003108801","Oleggio",45.5935,8.64508,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC16_0Jbq1rSM.","IT","004078800","Cuneo Alpini",44.38175,7.5382,"IT1529A",550,"background","urban","active",3.6,20,15,"ARPA-Piemonte"
"ITC17_0LLT1spN.","IT","005005801","Asti Acquisto",44.90893,8.20546,"IT1523A",150,"background","urban","automatic",4.15,8,11,"ARPA-Piemonte"
"ITC18_0Ly81tQ1.","IT","006039801","Casale Monferrato",45.13612,8.44518,"IT1582A",116,"background","urban","automatic",4.4,3,19,"ARPA-Piemonte"
"ITC18_0MQq1srD.","IT","006003805","Alessandria Volta",44.9203,8.6232,"IT1830A",91,"background","urban","active",3.1,31,25,"ARPA-Piemonte"
"ITC20_0J071uyW.","IT","AOLI","Aosta - Via Liconi",45.7344,7.30426,NA,582,"background","urban",NA,NA,NA,NA,"ARPA-VdA"
"ITC20_0J3F1uyv.","IT","AOPL","Aosta - Piazza Plouves",45.7369,7.32372,"IT0983A",580,"background","urban","automatic",3,20,10,"ARPA-VdA"
"ITC20_0KCe1ucI.","IT","DOMO","Donnas - Montey",45.5966,7.76643,"IT0988A",341,"background","rural","automatic",6,NA,NA,"ARPA-VdA"
"ITC32_0LLh1qb9.","IT","S020001","REGIONE CAVALLO - ALBENGA",44.05194,8.20694,"IT2038A",2,"traffic","urban","automatic",2.3,NA,NA,"ARPA-Liguria"
"ITC32_0LLY1rUo.","IT","S230009","RIO PARASACCO - CENGIO",44.39703,8.20604,"IT2155A",450,"background","rural","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0Lsg1rEB.","IT","S520003","QUILIANO",44.29389,8.41139,"IT1144A",16,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0Lx71rAj.","IT","S640009","VADO LIGURE",44.2725,8.43889,"IT1143A",2,"industrial","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0LXb1rSS.","IT","S150002","LOCALITA' FARINA - CAIRO M.",44.38241,8.28069,"IT1232A",330,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0M4e1rHd.","IT","S560018","VARALDO - SAVONA",44.31528,8.48556,"IT1883A",55,"background","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PbY1qlm.","IT","L150016","MAGGIOLINA - LA SPEZIA",44.11778,9.84278,"IT1536A",6,"background","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC34_0Pte1qkf.","IT","L270002","LARGO PERTINI - SARZANA",44.11093,9.95503,"IT2229A",25,"traffic","urban","active",3,NA,NA,"ARPA-Liguria"
"ITC34_0PZw1qky.","IT","L150015","SAN CIPRIANO - LA SPEZIA",44.11278,9.83278,"IT1456A",2,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC41_0MmQ1ufw.","IT","687","Ferno",45.61924,8.75697,NA,215,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC41_0Mwc1vBq.","IT","560","Varese - via Copelli",45.81697,8.82024,"IT1588A",383,"traffic","urban","automatic",3.5,6,4,"ARPA-Lombardia"
"ITC41_0Myv1ua5.","IT","558","Busto Arsizio - Accam",45.58288,8.83449,"IT1459A",206,"background","suburban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC41_0NW51uh4.","IT","554","Saronno - via Santuario",45.62622,9.04006,NA,212,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC42_0NaQ1vBW.","IT","561","Como - viale Cattaneo",45.81504,9.06697,NA,202,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC42_0Njt1uxw.","IT","565","Cantù - via Meucci",45.73084,9.12573,NA,369,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC42_0NzO1vAU.","IT","564","Erba - via Battisti",45.80857,9.22178,"IT2007A",279,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC43_0Ohr1vRI.","IT","681","Moggio",45.91279,9.49754,"IT1812A",1194,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC43_0OKL1vFu.","IT","679","Valmadrera",45.84221,9.35166,NA,247,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC43_0ORQ1vHC.","IT","574","Lecco - Via Amendola",45.85019,9.39558,"IT0776A",214,"traffic","urban","automatic",3.5,0.5,2.9,"ARPA-Lombardia"
"ITC43_0OS81vJN.","IT","706","Lecco - Via Sora",45.86375,9.39995,NA,272,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC43_0OT81use.","IT","576","Merate",45.69795,9.40619,"IT0777A",279,"traffic","urban","automatic",3.5,13.8,6.4,"ARPA-Lombardia"
"ITC44_0Osw1w0h.","IT","572","Morbegno - via Cortivacci",46.13228,9.56618,"IT1190A",262,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC44_0Pfx1w6S.","IT","569","Sondrio - via Mazzini",46.16797,9.87014,"IT0906A",307,"traffic","urban","automatic",3,7,17,"ARPA-Lombardia"
"ITC44_0PhQ1w6R.","IT","1264","Sondrio - via Paribelli",46.16785,9.87921,"IT1967A",290,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC44_0QzS1wt5.","IT","571","Bormio",46.46952,10.37543,NA,1225,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC46_0Ofj1urQ.","IT","685","Calusco d' Adda",45.69043,9.48426,NA,273,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC46_0OrJ1uiJ.","IT","595","Filago - via Don Milani",45.63386,9.55608,"IT0837A",190,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC46_0OrK1uMQ.","IT","609","Casirate d`Adda",45.49823,9.55623,"IT1464A",108,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC46_0Ox61uPp.","IT","592","Treviglio",45.51933,9.59201,"IT0778A",191,"traffic","urban","automatic",3,10,2,"ARPA-Lombardia"
"ITC46_0Oya1ukr.","IT","1269","Dalmine - via Verdi",45.6497,9.60122,NA,207,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC46_0P0H1ugA.","IT","596","Osio Sotto",45.62056,9.61174,"IT1463A",182,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC46_0P5R1urW.","IT","583","Bergamo - via Meucci",45.69104,9.64365,"IT0707A",249,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC46_0P8G1usH.","IT","584","Bergamo - via Garibaldi",45.69568,9.66125,"IT0997A",249,"traffic","urban","automatic",3,10,2,"ARPA-Lombardia"
"ITC47_0Qaq1uTB.","IT","649","Brescia - Broletto",45.54006,10.22282,"IT0594A",149,"traffic","urban","automatic",3,4,12,"ARPA-Lombardia"
"ITC47_0Qt81uPF.","IT","661","Rezzato",45.51571,10.33624,NA,147,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC47_0QTW1vL8.","IT","655","Darfo (aria)",45.8746,10.17736,"IT1385A",221,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC47_0QVr1uOo.","IT","669","Brescia - Villaggio Sereno",45.51304,10.19194,NA,70,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC47_0QXz1ukq.","IT","654","Sarezzo - via Minelli",45.64963,10.20509,NA,269,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC47_0R1h1ukG.","IT","659","Odolo",45.64605,10.3893,NA,349,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC48_0Mlz1tnX.","IT","708","Parona",45.28194,8.75433,"IT1874A",112,"industrial","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC48_0N0a1tr2.","IT","709","Vigevano - via Valletta",45.30361,8.8448,"IT2079A",109,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC48_0N4T1tFJ.","IT","690","Casoni - AGIP",45.06966,8.86889,"IT0689A",73,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC48_0NAA1tKe.","IT","693","Sannazzaro de' Burgondi - AGIP",45.10277,8.90417,"IT0692A",85,"industrial","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC48_0NnH1tY7.","IT","643","Pavia - p.zza Minerva",45.18633,9.14667,"IT1104A",77,"traffic","urban","automatic",3,20,6,"ARPA-Lombardia"
"ITC48_0NqA1tZT.","IT","642","Pavia - via Folperti",45.19468,9.16464,"IT0912A",77,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC48_0NQy1t3z.","IT","673","Voghera - via Pozzoni",44.99955,9.00844,"IT1735A",90,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0Oft1trQ.","IT","600","Lodi - viale Vignati",45.30601,9.48526,"IT1286A",80,"traffic","urban","automatic",3,9,13,"ARPA-Lombardia"
"ITC49_0OhV1tqu.","IT","1265","Lodi - S. Alberto",45.30278,9.49527,"IT1965A",76,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0OUU1tvM.","IT","604","Tavazzano",45.33036,9.41464,"IT0267A",85,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0P951tfj.","IT","1266","Bertonico",45.23349,9.66625,"IT1964A",65,"background","rural","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0PED1tTm.","IT","608","Codogno - via Trento",45.15937,9.69815,"IT1287A",59,"traffic","urban","automatic",3,14,9,"ARPA-Lombardia"
"ITC49_0PEe1tHI.","IT","598","S.Rocco al Porto",45.08199,9.70079,NA,50,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4A_0Pes1tns.","IT","633","Soresina",45.28398,9.8634,"IT0840A",70,"traffic","suburban","automatic",3,20,10,"ARPA-Lombardia"
"ITC4A_0PF91u19.","IT","629","Crema - via XI febbraio",45.36631,9.70395,"IT0839A",79,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4A_0Ppi1tSL.","IT","1297","Spinadesco",45.15047,9.9306,NA,48,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4A_0Q3R1tPL.","IT","627","Cremona - p.zza Cadorna",45.13195,10.01574,"IT1153A",39,"traffic","urban","automatic",3,17,5,"ARPA-Lombardia"
"ITC4A_0Q7y1tR3.","IT","677","Cremona - Via Fatebenefratelli",45.14254,10.04384,"IT1739A",43,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0Rn81u8e.","IT","695","Ponti sul Mincio",45.41277,10.68336,NA,113,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0S2w1tSX.","IT","664","Mantova - p.zza Gramsci",45.15174,10.78141,NA,18,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0S5E1tTy.","IT","670","Mantova - S.Agnese",45.16057,10.79556,"IT1868A",22,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0S6T1tRV.","IT","663","Mantova - via Ariosto",45.14526,10.80333,"IT0709A",18,"industrial","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4B_0SoT1t6n.","IT","703","Schivenoglia",45.01688,11.07609,NA,NA,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0T5N1tBZ.","IT","697","Borgofranco - loc. Bonizzo",45.0465,11.18094,NA,14,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0Mj71uR0.","IT","517","Turbigo",45.52655,8.7365,"IT1294A",141,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0N6I1uGe.","IT","546","Magenta",45.46242,8.88021,NA,137,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0Nv71uGn.","IT","528","Milano - Verziere",45.46335,9.19532,"IT0705A",116,"traffic","urban","automatic",3.5,4,8,"ARPA-Lombardia"
