"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC11_0Iqc1uBS.","IT","001073800","Ceresole",45.43022,7.2454,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0JlQ1t8s.","IT","001024802","Beinasco",45.02981,7.5976,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC11_0Jpz1tAp.","IT","001272822","Torino Rubino",45.04188,7.62593,"IT1877A",260,"background","urban","automatic",3.45,56,72,"ARPA-Piemonte"
"ITC11_0K1C1tKr.","IT","001272805","Torino Rebaudengo",45.10407,7.69536,"IT0470A",23,"traffic","urban","automatic",3.45,23,18,"ARPA-Piemonte"
"ITC11_0K3o1tWW.","IT","001130800","Leini",45.17635,7.71158,"IT2117A",246,"background","suburban","automatic",4.18,29,52,"ARPA-Piemonte"
"ITC12_0KvK1tpb.","IT","002042800","Cigliano",45.29475,8.04339,"IT2116A",211,"traffic","rural","automatic",3.31,21,22,"ARPA-Piemonte"
"ITC13_0KxQ1uWC.","IT","002012802","Biella Sturzo",45.55882,8.05639,"IT1247A",405,"background","urban","active",3.85,10,9,"ARPA-Piemonte"
"ITC15_0M0G1urG.","IT","003024802","Borgomanero",45.68943,8.45844,"IT2121A",301,"traffic","urban","automatic",4.05,14,10,"ARPA-Piemonte"
"ITC15_0MQQ1uCl.","IT","003106803","Novara Verdi",45.43831,8.62061,"IT1518A",154,"background","urban","active",1.8,7,90,"ARPA-Piemonte"
"ITC16_0Jbq1rSM.","IT","004078800","Cuneo Alpini",44.38175,7.5382,"IT1529A",550,"background","urban","active",3,20,15,"ARPA-Piemonte"
"ITC18_0MQq1srD.","IT","006003805","Alessandria Volta",44.9203,8.6232,"IT1830A",91,"background","urban","active",3.2,31,25,"ARPA-Piemonte"
"ITC20_0J071uyW.","IT","AOLI","Aosta - Via Liconi",45.7344,7.30426,NA,582,"background","urban",NA,NA,NA,NA,"ARPA-VdA"
"ITC20_0J3F1uyv.","IT","AOPL","Aosta - Piazza Plouves",45.7369,7.32372,"IT0983A",580,"background","urban","automatic",4,NA,NA,"ARPA-VdA"
"ITC32_0LLh1qb9.","IT","S020001","REGIONE CAVALLO - ALBENGA",44.05194,8.20694,"IT2038A",2,"traffic","urban","automatic",2.3,NA,NA,"ARPA-Liguria"
"ITC32_0LLY1rUo.","IT","S230009","RIO PARASACCO - CENGIO",44.39703,8.20604,"IT2155A",450,"background","rural","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0Lsg1rEB.","IT","S520003","QUILIANO",44.29389,8.41139,"IT1144A",16,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0Lx71rAj.","IT","S640009","VADO LIGURE",44.2725,8.43889,"IT1143A",2,"industrial","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0LXb1rSS.","IT","S150002","LOCALITA' FARINA - CAIRO M.",44.38241,8.28069,"IT1232A",330,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0M4e1rHd.","IT","S560018","VARALDO - SAVONA",44.31528,8.48556,"IT1883A",55,"background","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PbY1qlm.","IT","L150016","MAGGIOLINA - LA SPEZIA",44.11778,9.84278,"IT1536A",6,"background","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC34_0PZw1qky.","IT","L150015","SAN CIPRIANO - LA SPEZIA",44.11278,9.83278,"IT1456A",2,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC41_0Mwc1vBq.","IT","560","Varese - via Copelli",45.81697,8.82024,"IT1588A",383,"traffic","urban","automatic",3.5,6,4,"ARPA-Lombardia"
"ITC41_0NW51uh4.","IT","554","Saronno - via Santuario",45.62622,9.04006,NA,212,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC42_0NaQ1vBW.","IT","561","Como - viale Cattaneo",45.81504,9.06697,NA,202,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC43_0Ohr1vRI.","IT","681","Moggio",45.91279,9.49754,"IT1812A",1194,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC43_0OS81vJN.","IT","706","Lecco - Via Sora",45.86375,9.39995,NA,272,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC43_0OT81use.","IT","576","Merate",45.69795,9.40619,"IT0777A",279,"traffic","urban","automatic",3.5,13.8,6.4,"ARPA-Lombardia"
"ITC44_0PhQ1w6R.","IT","1264","Sondrio - via Paribelli",46.16785,9.87921,"IT1967A",290,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC46_0Ofj1urQ.","IT","685","Calusco d' Adda",45.69043,9.48426,NA,273,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC46_0OrK1uMQ.","IT","609","Casirate d`Adda",45.49823,9.55623,"IT1464A",108,"background","rural","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC46_0Ox61uPp.","IT","592","Treviglio",45.51933,9.59201,"IT0778A",191,"traffic","urban","automatic",3,10,2,"ARPA-Lombardia"
"ITC46_0Oya1ukr.","IT","1269","Dalmine - via Verdi",45.6497,9.60122,NA,207,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC46_0P5R1urW.","IT","583","Bergamo - via Meucci",45.69104,9.64365,"IT0707A",249,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC47_0Qaq1uTB.","IT","649","Brescia - Broletto",45.54006,10.22282,"IT0594A",149,"traffic","urban","automatic",3,4,12,"ARPA-Lombardia"
"ITC47_0QTW1vL8.","IT","655","Darfo (aria)",45.8746,10.17736,"IT1385A",221,"background","suburban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC47_0QVr1uOo.","IT","669","Brescia - Villaggio Sereno",45.51304,10.19194,NA,70,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC48_0NAA1tKe.","IT","693","Sannazzaro de' Burgondi - AGIP",45.10277,8.90417,"IT0692A",85,"industrial","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC48_0NBl1tAX.","IT","672","Cornale (Voghera Energia)",45.04008,8.91414,NA,74,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
