NAME,ID,ZoneType,StationType,MeasMet_NO2,MeasMet_PM10,MeasMet_O3,MeasMet_PM2.5,LON,LAT
Alba,004003800,urban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,8.033028,44.703711
Alessandria Annunzio,006003801,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,8.612,44.906608
Alessandria Volta,006003805,urban,background,CHEMILUMINESCENCE,BETAH,UV Absorption,BETAH,8.623197,44.920301
Asti Acquisto,005005801,urban,background,CHEMILUMINESCENCE,BETAD,UV Absorption,NA,8.20546,44.90893
Asti Baussano,005005802,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,8.197558,44.894221
Baceno,003010800,rural,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,8.255922,46.314783
Baldissero Torinese,001018800,rural,background,CHEMILUMINESCENCE,BETAD,UV Absorption,NA,7.792876,45.072365
Beinasco,001024802,urban,background,CHEMILUMINESCENCE,BETAD,NA,BETAD,7.5976,45.02981
Biella LaMarmora,002012803,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,8.051218,45.564175
Biella Sturzo,002012802,urban,background,CHEMILUMINESCENCE,BETAH,UV Absorption,BETAH,8.05639,45.55882
Borgaro Torinese,001028801,suburban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,7.658041,45.154639
Borgomanero,003024802,urban,traffic,CHEMILUMINESCENCE,BETAD,NA,BETAD,8.45844,45.68943
Borgosesia,002016800,urban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,8.283528,45.713169
Bra,004029801,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,7.843104,44.706149
Carmagnola,001059802,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,7.713999,44.847543
Casale Monferrato,006039801,urban,background,CHEMILUMINESCENCE,BETAD,NA,NA,8.445175,45.136124
Castelletto Ticino,003043800,rural,background,CHEMILUMINESCENCE,BETAD,UV Absorption,NA,8.602318,45.713526
Cerano,003049800,suburban,background,CHEMILUMINESCENCE,NA,NA,NA,8.786317,45.40973
Ceresole,001073800,rural,background,CHEMILUMINESCENCE,BETAD,UV Absorption,BETAD,7.2454,45.43022
Chieri,001078802,suburban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,7.83748,45.002757
Cigliano,002042800,rural,traffic,CHEMILUMINESCENCE,BETAH,NA,BETAH,8.043389,45.294747
Collegno,001090804,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,7.577933,45.072582
Cossato,002046800,urban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,8.187606,45.569106
Cuneo Alpini,004078800,urban,background,CHEMILUMINESCENCE,BETAH,UV Absorption,BETAD,7.538197,44.381755
Dernice,006066800,rural,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,9.052427,44.763346
Domodossola,003061801,suburban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,8.292115,46.127605
Druento La Mandria,001099800,rural,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,7.560196,45.175772
Ivrea,001125802,suburban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,7.878037,45.451198
Leini,001130800,suburban,background,CHEMILUMINESCENCE,BETAD,UV Absorption,BETAD,7.71158,45.17635
Mondovì,004130801,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,7.814634,44.401857
Novara Roma,003106804,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,8.619687,45.440342
Novara Verdi,003106803,urban,background,CHEMILUMINESCENCE,BETAH,UV Absorption,BETAH,8.620608,45.43831
Novi Ligure,006114801,urban,traffic,CHEMILUMINESCENCE,NA,NA,NA,8.794722,44.758141
Oleggio,003108801,urban,traffic,CHEMILUMINESCENCE,BETAD,NA,NA,8.645078,45.593496
Omegna,003110801,urban,traffic,CHEMILUMINESCENCE,BETAD,NA,NA,8.415739,45.898849
Orbassano,001171801,suburban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,7.549626,45.006872
Oulx,001175800,suburban,traffic,CHEMILUMINESCENCE,NA,NA,NA,6.835924,45.034796
Pieve Vergonte,003118800,suburban,background,CHEMILUMINESCENCE,NA,UV Absorption,NA,8.269,46.011725
