TIPO.SITO,CABINA,COMUNE,RETE,CODICE.EOI,TIPO.ZONA,TIPO.STAZIONE,LON,LAT
M/A,Foggia - Via Rosati,Foggia,RRQA,IT2019A,Urbana,Fondo,15.5486,41.4556
M/A,suolo Giuffreda,Monte S. Angelo,RRQA,IT1601A,Rurale,Fondo,15.9453,41.6661
M/A,Casamassima - LaPenna,Casamassima,PROVINCIA BARI,IT1823A,Suburbana,Fondo,16.9199,40.9522
S,Altamura - Via Santeramo,Altamura,PROVINCIA BARI,IT1818A,Suburbana,Fondo,16.5602,40.8279
M,Martina Franca - Via Stazione,Martina Franca,ARPA,IT1680A,Urbana,Traffico,17.3319,40.7008
M/A,San Severo - Posta del Principe,San Severo,ENPLUS,IT2141A,Rurale,Fondo,15.3877,41.6328
I,San Severo - Azienda Russo,San Severo,ENPLUS,IT2142A,Rurale,Fondo,15.4514,41.5468
I,Ceglie Messapica - Via Martina,Ceglie Messapica,ENEL,IT2148A,Suburbana,Fondo,17.5125,40.6492
I,Cisternino - Via Croce,Cisternino,ENEL,IT2149A,Rurale,Fondo,17.4158,40.7428
M/A,Molfetta - Verdi,Molfetta,RRQA,IT1603A,urbana,traffico,16.6052,41.2011
S,Andria - Via Vaccina,Andria,PROVINCIA BARI,IT1822A,Urbana,Traffico,16.3031,41.2323
M/A,Monopoli - ItalGreen,Monopoli,PROVINCIA BARI,IT1817A,Suburbana,Traffico,17.2895,40.9502
M/A,Manfredonia - Via dei Mandorli,Manfredonia,RRQA,IT1598A,Suburbana,Traffico,15.9096,41.6293
M/A,Lecce - Garigliano,Lecce ,COMUNE LECCE,IT1932A,Urbana,Traffico,18.1743,40.3645
S,Lecce - Libertini,Lecce ,COMUNE LECCE,IT2044A,Urbana,Traffico,18.1767,40.3519
I,Surbo- Via Croce,Lecce,ENEL,IT2150A,Rurale,Industriale,18.1208,40.4119
A,San Pancrazio Salentino - Via Deledda,San Pancrazio Salentino,RRQA,IT1617A,Suburbana,Fondo,17.846,40.423
S/A,Campi S.na - I.T.C. Costa,Campi. S.na,PROVINCIA LECCE,IT1666A,Suburbana,Fondo,18.0265,40.3975
M/A,Lecce - Cerrate,Lecce ,RRQA,IT1665A,Rurale,Fondo,18.1164,40.4597
M,Arnesano - Riesci,ARNESANO,RRQA,IT1687A,Suburbana,Fondo,18.0951,40.3463
S,Guagnano - Villa Baldassarri,GUAGNANO,RRQA,IT1664A,Suburbana,Fondo,17.9645,40.4185
A,Mesagne - Via Udine,Mesagne,RRQA,IT1663A,Suburbana,Fondo,17.808,40.566
