ID,LAT,LON,NAME
ARPACAMPANIA_ACERRAZI,40.9796485901,14.4009828568,Acerra Zona Industriale
ARPACAMPANIA_ALBURNI,40.470664978,15.2986392975,Ottati Alburni
ARPACAMPANIA_ALIGHIERI,40.9187049866,14.7854919434,Avellino Scuola Alighieri
ARPACAMPANIA_AREAASI,40.9208335876,14.3850002289,Pomigliano D'Arco Area ASI
ARPACAMPANIA_AV41,40.9230537415,14.7866668701,Avellino AV41 Sc. V Circolo
ARPACAMPANIA_BENEVCS,41.1157493591,14.7798948288,Benevento Campo Sportivo
ARPACAMPANIA_BENEVZI,41.1468429565,14.8362503052,Benevento Zona Industriale
ARPACAMPANIA_BN32,41.1313896179,14.7891664505,Benevento BN32 Via Mustilli
ARPACAMPANIA_CAPORALE,40.9404602051,14.3701972961,Acerra Scuola Caporale
ARPACAMPANIA_CASORIA,40.9146308899,14.2986059189,Casoria Scuola Palizzi
ARPACAMPANIA_CE51,41.0786094666,14.3383331299,Caserta CE51 Ist.Manzoni
ARPACAMPANIA_CE52,41.076915741,14.3312501907,Caserta CE52 Sc. De Amicis
ARPACAMPANIA_CE54,41.0459289551,14.3780832291,Maddaloni CE54 Sc. Settembrini
ARPACAMPANIA_CIRILLO,40.9754981995,14.2114162445,Aversa Sc. Cirillo
ARPACAMPANIA_CS,40.9904327393,14.423989296,S. Felice a Cancello C. Scolast.
ARPACAMPANIA_MARCONI,40.9244270325,14.4814472198,S.Vitaliano Scuola Marconi
ARPACAMPANIA_MATESE,41.4183616638,14.412027359,S.Gregorio Matese Lago
ARPACAMPANIA_MERC,40.6616401672,14.8045139313,Salerno Parco Mercatello
ARPACAMPANIA_NA01,40.8636932373,14.2545108795,Napoli NA01 Oss. Astronomico
ARPACAMPANIA_NA02,40.8491668701,14.2311115265,Napoli NA02 Osp. Santobono
ARPACAMPANIA_NA06,40.8541679382,14.2511110306,Napoli NA06 Museo Nazionale
ARPACAMPANIA_NA07,40.8541679382,14.2716665268,Napoli NA07 Ferrovia
ARPACAMPANIA_NA08,40.8725013733,14.2827777863,Napoli NA08 Osp.N.Pellegrini
ARPACAMPANIA_NA09,40.8638877869,14.3413887024,Napoli NA09 Via Argine
ARPACAMPANIA_NA10,40.7986679077,14.1797218323,Napoli Parco Virgiliano
ARPACAMPANIA_PARCOF,40.6110839844,14.9758615494,Battipaglia Parco Fiume
ARPACAMPANIA_PASCOLI,40.7604980469,14.4381332397,Torre Annunziata Sc. Pascoli
ARPACAMPANIA_POLLA,40.4880828857,15.5200834274,Polla Area Ritovagliatore
ARPACAMPANIA_PR,40.8159713745,14.3502502441,Portici Parco Reggia
ARPACAMPANIA_SA22,40.682220459,14.7661113739,Salerno SA22 Osp. Via Vernieri
ARPACAMPANIA_SA23,40.6952781677,14.7775001526,Salerno SA23 Scuola Conti
ARPACAMPANIA_SOLIMENA,40.7402496338,14.6434669495,Nocera Inferiore Sc. Solimena
ARPACAMPANIA_SOLOFRAZI,40.8355560303,14.8249998093,Solofra Zona Industriale
ARPACAMPANIA_STADIO,40.710975647,14.7024440765,Cava dei Tirreni Stadio
ARPACAMPANIA_VILLAAV,40.8228759766,14.1224365234,Pozzuoli Zona Villa Avellino
ARPACAMPANIA_VILLACOM,41.1563072205,15.0965003967,Ariano Irpino Stadio
