"ID_STAZIONE","NOME_STAZIONE","LAT","LON"
10000001,"FLAMINIA",44.052101135,12.575679779
9000070,"DELTA CERVIA",44.283857,12.332249
6000029,"MELDOLA",44.131343,12.062766
6000035,"HERA",44.229397,12.08916
9000071,"GIARDINI",44.415934,12.208057
3000009,"GUASTALLA",44.92,10.66
5000006,"MOCOMERO",44.78737,9.806523
9000068,"BALLIRANA",44.527432,11.982355
6000012,"MULINI",44.14,12.24
5000066,"CORTE BRUGNATELLA",44.734728,9.366928
4000017,"MO - AMUNDSEN",44.657241,10.896992
2000230,"BOGOLESE",44.829145,10.391537
4000010,"SPEZZANO 2",44.532536,10.846372
10000074,"SAN LEO",43.907219,12.401233
4000022,"PARCO FERRARI",44.651569,10.907312
4000002,"GIARDINI",44.636985,10.905724
7000013,"ZANARDI",44.512906,11.328184
7000021,"CASTEL MAGGIORE",44.581077,11.364207
7000023,"MONTE CUCCOLINO",44.46385,11.32867
9000001,"GERMANI",44.445522308,12.27288723
7000020,"CASALECCHIO DI RENO",44.484043,11.277
10000059,"VERUCCHIO",44.013877,12.420964
2000007,"MILAZZO",44.8,10.319995
8000001,"701 S.GIOVANNI",44.83998,11.64
2000005,"MARZABOTTO",44.859999,10.059996
2000001,"SPALATO",44.799999237,10.319990158
3000011,"RUBIERA",44.65,10.78
5000018,"CAORSO ENEL",45.070960999,9.876506805
8000041,"OSTELLATO",44.740896,11.941937
9000051,"PUNTA MARINA",4.453219891,11.364156723
4000159,"XXII APRILE",44.656108,10.939735
9000016,"CERAMICHE",44.289446,11.888773
5000033,"GIORDANI-FARNESE",45.04884,9.693265
2000003,"CITTADELLA",44.792419,10.330985
7000035,"HERA2 CARPE",44.371148,11.700655
5000013,"PUBBLICO PASSEGGIO",45.0452,9.701386
7000002,"DE AMICIS",44.355422,11.720672
7000041,"VIA CHIARINI",44.500093,11.286065
8000040,"VILLA FULVIA",44.824263,11.649618
2000214,"BADIA",44.658226,10.289367
2000004,"MONTEBELLO",44.786636353,10.33647728
3000021,"CASALGRANDE",44.58853,10.730334
2000215,"LEOPARDI",44.863329,10.050235
9000004,"AGIP 29",44.454729,12.158313
2000219,"SARAGAT",44.925963,10.371914
7000039,"FERRARI",44.34866,11.701428
7000042,"CASTELLUCCIO",44.14044,10.917166
3000018,"FEBBIO",44.300708,10.431042
3000004,"RISORGIMENTO",44.683034,10.628291
3000002,"SANT'ANTONINO",44.559999,10.759996
5000016,"ROMA",45.047862,9.707958
9000025,"CONSELICE",44.494877,11.819909
9000056,"VIA FAENTINA",44.425486,12.167829
4000014,"MIRANDOLA",44.883872,11.068055
2000232,"PARADIGNA",44.841275,10.344572
9000083,"PARCO BERTOZZI",44.285612,11.873396
9000018,"PARCO BUCCI",44.295015,11.871098
10000002,"MARECCHIA",44.064308167,12.552490234
7000014,"GIARDINI MARGHERITA",44.483628,11.355035
7000040,"VILLA TORCHI",44.546041,11.359389
4000023,"ALBARETO",44.68779,10.966358
6000032,"RAVENNATE",44.148658,12.243743
7000027,"SAN PIETRO CAPOFIUME",44.654232025,11.624819756
9000061,"AMGA",44.447486877,12.226851463
9000005,"MARINA DI RAVENNA",44.480812,12.28228
2000008,"VITTORIA",44.80238,10.3144
4000024,"TAGLIATI",44.670378,10.9623
5000026,"SAN ROCCO",45.080271,9.7001
5000004,"FORNO UNICEM",44.79,9.81
5000021,"CORTEMAGGIORE",44.98774,9.927752
5000019,"FIORENZUOLA",44.92651,9.910724
4000146,"VIGNOLA",44.488669,11.008284
8000003,"BARCO",44.85998,11.61
8000007,"GHERARDI",44.839749,11.961252
9000055,"LIDO DI SAVIO",44.318077087,12.341071129
9000063,"MARINA ROMEA",44.511989,12.274394
4000011,"CARPI 1",44.776389,10.884157
4000020,"SOLIGNANO",NA,NA
4000013,"PAVULLO",44.332632,10.833803
4000137,"SKYPOST",44.64999,10.929997
9000021,"CAORLE",44.419261,12.225385
9000012,"STADIO",44.405833,12.194281
8000042,"VIA BELLONCI",44.844204,11.647192
8000044,"CASSANA",44.849548,11.562287
7000046,"CABINA MOLINELLA",44.651933,11.624565
7000024,"SAN LAZZARO",44.467189,11.416601
7000022,"BORGO PANIGALE",44.521736,11.272932
7000017,"FIERA",44.511926,11.358364
4000016,"MARANELLO",44.527674,10.872343
4000005,"MO - VIA NONANTOLANA",44.657129,10.949556
6000010,"PARCO RESISTENZA",44.215153,12.04816
4000012,"REMESINA",44.800377,10.884255
9000015,"N. ROCCA BRANCALEONE",44.422574,12.206574
7000025,"CASTENASO",44.512003,11.465341
7000028,"GRANAROLO",44.552858,11.444279
5000020,"CENO",45.054420471,9.726859093
10000003,"ABETE",44.048301697,12.559659958
2000006,"MAZZINI",44.87,10.060002
2000228,"SUPERSITO CITTADELLA",44.792419,10.330985
4000155,"PARCO EDILCARANI",44.540382385,10.792358398
3000014,"S. ILARIO D'ENZA",44.76,10.45
5000008,"CASTEL SAN GIOVANNI",45.06393,9.438886
5000014,"MEDAGLIE ORO",45.045441,9.684247
10000073,"SUPERSITO - MARECCHIA",44.064308167,12.552490234
6000015,"BECCARIA",44.129956,12.019997
4000001,"MO - L.GO GARIBALDI",44.645255,10.931605
9000049,"CA' BOSCO",44.480695,12.178563
9000053,"LIDO ADRIANO",44.407485962,12.309404373
8000004,"MIZZANA",44.85106,11.582602
4000158,"BELGIO",44.677015,10.935802
6000036,"SAVIGNANO DI RIGO",43.927406,12.224794
7000015,"PORTA SAN FELICE",44.500017,11.328501
6000031,"SAVIGNANO",44.096869,12.403328
7000001,"CAVOUR",44.357824,11.710896
9000009,"PIAZZA RESISTENZA",44.415831,12.188634
6000014,"FRANCHINI-ANGELONI",44.141382,12.244744
7000034,"HERA1 ROMAGNA",44.366047,11.720575
9000024,"RANDI",44.409557,12.192161
3000008,"XX SETTEMBRE",44.71,10.62
5000025,"METEO TECNO",45.058029,9.73441
5000017,"GIORDANI",45.04907,9.693878
3000013,"MONTECCHIO",44.7,10.45
6000013,"EMILIA",44.14,12.26
9000006,"AZIENDA ZORABINI",44.4986,12.207447
9000069,"CA' PINO",44.514345,12.22751
2000229,"MALCANTONE",44.890934,10.399611
4000006,"CAMPOGALLIANO",44.691464,10.848917
9000017,"MARCONI",44.282582,11.873599
9000011,"S.A.P.I.R.",44.444628,12.251072
7000016,"MALPIGHI",44.490042,11.367416
5000027,"MONTALE",45.026691437,9.749596596
9000002,"AZIENDA MARANI",44.46608,12.208228
9000014,"ZALAMELLA",44.427783966,12.186494827
8000002,"ISONZO",44.842488,11.613141
8000038,"CENTO",44.733011,11.299659
6000034,"MONTEFIORE",44.144489288,12.257917404
9000020,"COTIGNOLA",44.391576,11.943351
5000024,"GERBIDO",45.055889,9.747946
7000047,"CABINA MAINSITE",44.524627,11.340932
6000011,"ROMA",44.215974,12.057502
3000010,"CORREGGIO",44.77,10.79
3000001,"CASTELLARANO",44.516242,10.733905
