NOME_RETE,NOME_AGGLOMERATO,COD_STAZIONE,NOME_STAZIONE,TIPO_ZONA,TIPO_STAZIONE,FLAG_REGIONALE,COMUNE,PROVINCIA,COORDINATE_EGB,COORDINATE_NGB,LON,LAT
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000002,FI-BASSI,URBANA,FONDO,1,FIRENZE,FIRENZE,1684020,4850623,11.2866320437383,43.7856505722782
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000028,FI-SIGNA,URBANA,FONDO,1,SIGNA,FIRENZE,1668808,4851063,11.0978492786727,43.7932343203576
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000007,FI-SETTIGNANO,SUBURBANA,FONDO,1,FIRENZE,FIRENZE,1686941,4850978,11.3230282115445,43.7881125077253
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000006,FI-MOSSE,URBANA,TRAFFICO,1,FIRENZE,FIRENZE,1679502,4850406,11.230453065457,43.7848074042427
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000004,FI-GRAMSCI,URBANA,TRAFFICO,1,FIRENZE,FIRENZE,1682817,4849080,11.271167303859,43.7720668340987
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000008,FI-SCANDICCI,URBANA,FONDO,1,SCANDICCI,FIRENZE,1676484,4847120,11.1918934340317,43.7559684576481
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Agglomerato di Firenze,480000001,FI-BOBOLI,URBANA,FONDO,1,FIRENZE,FIRENZE,1680982,4848157,11.2480736842982,43.7642134310588
LU - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Collinare Montana,460000013,LU-FORNOLI,URBANA,FONDO,1,BAGNI DI LUCCA,LUCCA,1625078,4873691,10.5598517846055,44.0055725613036
SI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Collinare Montana,520000030,SI-BRACCI,URBANA,TRAFFICO,1,SIENA,SIENA,1688454,4801040,11.3244715623441,43.3384590622856
PI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Collinare Montana,500000019,PI-MONTECERBOLI,SUBURBANA,FONDO,1,POMARANCE,PISA,1652719,4789948,10.8808199897028,43.2467433310175
SI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Collinare Montana,520000029,SI-POGGIBONSI,URBANA,FONDO,1,POGGIBONSI,SIENA,1673203,4815464,11.1410343450696,43.4719137341106
AR - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Collinare Montana,510000010,AR-CASA-STABBI,RURALE,FONDO,1,CHITIGNANO,AREZZO,1733923,4838124,11.9006835317987,43.6591763981053
LI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,490000039,LI-PIOMBINO-PARCO-VIII-MARZO,SUBURBANA,FONDO,1,PIOMBINO,LIVORNO,1624407,4754397,10.5242602571144,42.9319294911315
LI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,490000007,LI-COTONE,SUBURBANA,INDUSTRIALE,1,PIOMBINO,LIVORNO,1625134,4755091,10.533321388653,42.9380578017651
MS - RETE PROVINCIALE QUALITA DELL'ARIA,Zona Costiera,450000007,MS-MARINA-VECCHIA,URBANA,TRAFFICO,1,MASSA,MASSA CARRARA,1590801,4875968,10.1327780971914,44.0311047189425
LU - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,460000006,LU-VIAREGGIO,URBANA,FONDO,1,VIAREGGIO,LUCCA,1599964,4859637,10.2440283641187,43.8829144505053
GR - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,530000005,GR-MAREMMA,RURALE,FONDO,1,GROSSETO,GROSSETO,1671567,4726247,11.0933115861964,42.6694527387249
MS - RETE PROVINCIALE QUALITA DELL'ARIA,Zona Costiera,450000003,MS-COLOMBAROTTO,URBANA,FONDO,1,CARRARA,MASSA CARRARA,1587811,4881079,10.0963207146212,44.0774756123807
LI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,490000037,LI-CARDUCCI,URBANA,TRAFFICO,1,LIVORNO,LIVORNO,1607354,4823183,10.3287258716116,43.5537412841528
GR - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,530000001,GR-URSS,URBANA,FONDO,1,GROSSETO,GROSSETO,1673306,4738317,11.1182116396645,42.7776835050169
LI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,490000040,LI-LAPIRA,URBANA,FONDO,1,LIVORNO,LIVORNO,1607540,4824675,10.3313236339285,43.567144896229
GR - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,530000002,GR-SONNINO,URBANA,TRAFFICO,1,GROSSETO,GROSSETO,1672599,4736501,11.1090201440669,42.7615004818382
LI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Costiera,490000034,LI-CAPPIELLO,URBANA,FONDO,1,LIVORNO,LIVORNO,1606771,4819312,10.3207494618465,43.5189794258222
PO - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Prato Pistoia,1000000004,PO-FERRUCCI,URBANA,TRAFFICO,1,PRATO,PRATO,1669108,4860034,11.1044109178631,43.873882665982
PT - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Prato Pistoia,470000002,PT-SIGNORELLI,URBANA,FONDO,1,PISTOIA,PISTOIA,1652861,4866972,10.9043037653788,43.9398580055759
PT - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Prato Pistoia,470000005,PT-MONTALE,SUBURBANA,FONDO,1,MONTALE,PISTOIA,1661087,4864420,11.0059667381609,43.9151419409309
PO - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Prato Pistoia,1000000002,PO-ROMA,URBANA,FONDO,1,PRATO,PRATO,1668137,4859955,11.0923087950704,43.8733936842708
FI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Aretino e Valdichiana,480000029,FI-FIGLINE,URBANA,FONDO,1,FIGLINE VALDARNO,FIRENZE,1699066,4832977,11.4669349836911,43.6230251214919
AR - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Aretino e Valdichiana,510000003,AR-ACROPOLI,URBANA,FONDO,1,AREZZO,AREZZO,1733671,4815974,11.8880256645627,43.4600708185912
AR - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Aretino e Valdichiana,510000001,AR-REPUBBLICA,URBANA,TRAFFICO,1,AREZZO,AREZZO,1732681,4816110,11.8758616853479,43.461602091577
PI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,500000014,PI-PASSI,URBANA,FONDO,1,PISA,PISA,1612822,4843724,10.4006904838708,43.7378287318584
LU - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,460000014,LU-SAN-CONCORDIO,URBANA,FONDO,1,LUCCA,LUCCA,1620698,4854380,10.5008604560363,43.8324990903479
PI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,500000015,PI-BORGHETTO,URBANA,TRAFFICO,1,PISA,PISA,1613586,4840980,10.4095957688303,43.7130132533648
LU - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,460000012,LU-CARIGNANO,RURALE,FONDO,1,LUCCA,LUCCA,1616745,4858252,10.4525559379259,43.867984610121
PI - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,500000008,PI-SANTA-CROCE-COOP,SUBURBANA,FONDO,1,SANTA CROCE SULL'ARNO,PISA,1642680,4841449,10.7707077773188,43.7122121042561
LU - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,460000001,LU-CAPANNORI,URBANA,FONDO,1,CAPANNORI,LUCCA,1626469,4855303,10.5728300564879,43.8398414578251
LU - RETE PROVINCIALE QUALITA' DELL'ARIA,Zona Valdarno Pisano e Piana Lucchese,460000003,LU-MICHELETTO,URBANA,TRAFFICO,1,LUCCA,LUCCA,1621515,4855539,10.5112817771051,43.8427967698056
