"ID","NAME","LON","LAT"
"auto_275","Airolo",8.611966,46.528014
"auto_1","Biasca",8.969771,46.349055
"511 02 08","Bioggio",8.912669,46.010628
"304 01 05","Bodio",8.912117,46.378125
"406 01 03","Brione s. Minusio",8.811726,46.184016
"525 01 01","Camignolo",8.931483,46.103771
"610 02 06","Chiasso",9.027978,45.837482
"auto_51","Giubiasco",8.995826,46.17155
"423 02 02","Locarno",8.791031,46.166946
"614 01 03","Mendrisio",8.977259,45.873107
"112 01 02","Moleno",8.994837,46.279758
"596 01 01","Pregassona",8.967521,46.025867
"591 01 01","Vezia",8.935682,46.028184
