AirQualityStationEoICode,Countrycode,Namespace,LON,LAT,Altitude,AirQualityStationType,AirQualityStationArea,BuildingDistance,KerbDistance,station_name
AT0ENK1,AT,AT.0008.20.AQ,13.671123,48.391688,525,background,rural-remote/rural-regional,50,,Enzenkirchen im Sauwald
AT0ILL1,AT,AT.0008.20.AQ,16.766409,47.770142,117,background,rural-remote/rural-regional,,,Illmitz am Neusiedler See
AT0KLH1,AT,AT.0008.20.AQ,15.956372,46.760797,363,background,rural-regional,,,Klöch bei Bad Radkersburg
AT0PIL1,AT,AT.0008.20.AQ,15.942222,48.721106,315,background,rural-remote/rural-regional,,,Pillersdorf bei Retz
AT0SON1,AT,AT.0008.20.AQ,12.957996,47.054278,3106,background,rural-remote,,,Sonnblick
AT0VOR1,AT,AT.0008.20.AQ,12.973267,46.679127,1020,background,rural-remote/rural-regional,,,Vorhegg bei Kötschach-Mauthen
AT0ZOE2,AT,AT.0008.20.AQ,14.441398,47.838619,899,background,rural-remote,,,Zöbelboden im Reichraminger Hintergebirge - Wildwiese
AT10001,AT,AT.0008.20.AQ,16.52749,47.840006,160,background,suburban,50,40,Eisenstadt Laschoberstraße
AT10002,AT,AT.0008.20.AQ,16.202292,47.325846,339,background,rural-regional,15,,Oberschützen
AT10003,AT,AT.0008.20.AQ,17.071397,48.109438,138,background/industrial,suburban,,1200,Kittsee
AT2F202,AT,AT.0008.20.AQ,14.528951,46.841962,810,industrial,rural,36,,Klein St. Paul - Pemberg
AT2KA21,AT,AT.0008.20.AQ,14.317592,46.623134,445,traffic/background,urban,19,4.25833333333333,Klagenfurt Völkermarkter Straße
AT2KA61,AT,AT.0008.20.AQ,14.26752,46.652634,455,traffic,suburban,100,7,Klagenfurt A2 Nordumfahrung
AT2KA71,AT,AT.0008.20.AQ,14.29917,46.626643,445,background,urban,2.76666666666667,10.6666666666667,Klagenfurt Sterneckstraße
AT2SP10,AT,AT.0008.20.AQ,13.195708,46.935228,686,background,rural-regional,65,33,Obervellach Schulzentrum
AT2SP18,AT,AT.0008.20.AQ,13.494561,46.801498,560,background,suburban/urban,16,4.15,Spittal a. d. Drau Oktoberstraße
AT2VI12,AT,AT.0008.20.AQ,13.841271,46.611815,490,traffic/background,urban,37,22.4285714285714,Villach Tirolerbrücke
AT2WO15,AT,AT.0008.20.AQ,14.843893,46.835135,451,traffic/industrial/background,urban,11.2857142857143,15,Wolfsberg Hauptschule
AT2WO35,AT,AT.0008.20.AQ,14.891772,46.708212,540,background,rural-regional,,,St. Georgen im Lavanttal - Herzogberg
AT30065,AT,AT.0008.20.AQ,16.157323,48.200719,255,background,suburban,6,3,Purkersdorf; Tullnerbachstraße
AT30101,AT,AT.0008.20.AQ,14.878707,48.120283,270,background,suburban/urban,,10,Amstetten
AT30104,AT,AT.0008.20.AQ,14.547111,48.179158,295,traffic,rural-regional/rural,120,70,St. Valentin; Westautobahn
AT30201,AT,AT.0008.20.AQ,16.206332,47.95953,274,background,suburban,50,3,Bad Vöslau; Gainfarn
AT30202,AT,AT.0008.20.AQ,15.919426,48.106122,581,background,rural-regional/rural,,100,Forsthof am Schöpfl
AT30301,AT,AT.0008.20.AQ,16.960267,48.143762,172,background/industrial,suburban,,70,Hainburg Krankenhaus
AT30302,AT,AT.0008.20.AQ,16.675917,48.050542,224,background,rural-nearcity/rural,,,Stixneusiedl
AT30401,AT,AT.0008.20.AQ,16.729962,48.334714,161,background,suburban/rural,100,400,Gänserndorf Baumschulweg
AT30403,AT,AT.0008.20.AQ,16.522494,48.392231,230,background,rural-nearcity,100,550,Wolkersdorf
AT30407,AT,AT.0008.20.AQ,16.636962,48.236671,150,background,rural-nearcity,,3,Glinzendorf im Marchfeld
AT30502,AT,AT.0008.20.AQ,15.046679,48.878613,565,background,rural-regional,100,4,Heidenreichstein Thaures
AT30599,AT,AT.0008.20.AQ,16.327951,48.308234,181,traffic,suburban,30,13,Klosterneuburg Bahnhof Klosterneuburg-Kierling
AT30601,AT,AT.0008.20.AQ,16.313659,48.301846,211,background,suburban,20,5,Klosterneuburg Wisentgasse (Friedhof)
AT30902,AT,AT.0008.20.AQ,16.198362,48.386792,180,traffic/background,suburban,15,193.333333333333,Stockerau; Rudolf Diesel-Straße
AT31204,AT,AT.0008.20.AQ,15.201507,48.213206,216,background,rural-regional/suburban,100,,Pöchlarn
AT31401,AT,AT.0008.20.AQ,16.302241,48.086104,213,background,suburban,100,,Mödling Bachgasse
AT31402,AT,AT.0008.20.AQ,16.331497,48.125011,194,traffic,suburban,50,200,Vösendorf Kindbergstraße
AT31406,AT,AT.0008.20.AQ,16.337217,48.083334,188,traffic/background,suburban,15,244,Biedermannsdorf Mühlengasse
AT31413,AT,AT.0008.20.AQ,16.330285,48.083883,214,traffic/background,suburban,30,133.333333333333,Wiener Neudorf Hauptstraße
AT31502,AT,AT.0008.20.AQ,15.854724,47.670002,890,background,rural-regional,,,Payerbach - Kreuzberg
AT31701,AT,AT.0008.20.AQ,15.544981,48.370653,313,background,rural-nearcity/rural,,10,Dunkelsteinerwald - Unterbergern
AT31703,AT,AT.0008.20.AQ,15.746936,48.353335,190,background,rural-regional/suburban,,,Traismauer
AT31901,AT,AT.0008.20.AQ,16.061114,48.330317,229,background,suburban,10,3.5,Tulln Leopoldgasse
AT31902,AT,AT.0008.20.AQ,15.906387,48.329714,200,background/industrial,rural,5,,Zwentendorf im Tullnerfeld
AT31904,AT,AT.0008.20.AQ,15.935398,48.276496,220,background,rural,,10,Streithofen im Tullnerfeld
AT32301,AT,AT.0008.20.AQ,15.632921,48.21196,270,background,suburban/urban,30,10,St. Pölten Eybnerstraße
AT32302,AT,AT.0008.20.AQ,15.615751,48.205642,271,traffic/background,urban,15,7.25,St. Pölten Europaplatz HTL
AT32401,AT,AT.0008.20.AQ,16.255007,47.814155,265,background,suburban,,,Wiener Neustadt
AT32501,AT,AT.0008.20.AQ,15.619716,48.409015,195,background,urban/suburban,100,3,Krems
AT32604,AT,AT.0008.20.AQ,14.772268,48.045047,750,background,rural-regional/rural,,,Kematen an der Ybbs
AT32701,AT,AT.0008.20.AQ,16.47446,48.144995,155,background/industrial,suburban,100,15,Schwechat Sportplatz; Mühlgasse
AT32702,AT,AT.0008.20.AQ,16.511387,48.147902,159,traffic/background,suburban,50,56,Mannswörth bei Schwechat; Danubiastraße/A4
