"name","pop","lat","long"
"Vigevano",61313,45.33,8.85
"Acerra",51394,41,14.39
"Catania",301544,37.5,15.08
"Paterno",50939,37.57,14.9
"Casoria",82816,40.9,14.28
"Agrigento",61612,37.31,13.58
"Asti",74486,44.92,8.21
"Rome",2561181,41.89,12.5
"Alcamo",45616,37.98,12.96
"Alexandria (Italy)",93101,44.92,8.61
"Alghero",41296,40.57,8.31
"Altamura",68020,40.84,16.55
"Ancona",102410,43.6,13.5
"Andria",98287,41.23,16.29
"Castellammare di Stabia",65523,40.7,14.48
"Aprilia",66871,41.6,12.65
"Aosta",34391,45.75,7.31
"Arezzo",96304,43.47,11.87
"Tunis",693294,36.84,10.22
"Teramo",53789,42.67,13.7
"Syracuse",123309,37.07,15.29
"Benevento",63719,41.13,14.77
"Giugliano in Campania",111634,40.93,14.19
"Avezzano",40085,42.04,13.42
"Palermo",668275,38.12,13.36
"Bajah",57561,36.73,9.19
"Barcellona",41254,38.16,15.21
"Bari",310787,41.12,16.87
"Basel",164082,47.57,7.58
"Bassano del Grappa",42386,45.77,11.74
"Battipaglia",51470,40.62,14.97
"Belluno",35922,46.15,12.21
"Bergamo",117689,45.7,9.67
"Bern",120596,46.95,7.44
"Biel",48616,47.15,7.24
"Biella",46588,45.58,8.06
"Halq-al-Wadi",80171,36.85,10.32
"Binzart",116617,37.29,9.87
"Como",85276,45.81,9.08
"Bologna",375193,44.5,11.34
"Bolzano",98223,46.5,11.35
"Brescia",194543,45.55,10.22
"Brindisi",87188,40.64,17.93
"Milan",1316218,45.48,9.19
"Varese",85277,45.83,8.83
"Cagliari",159169,39.22,9.1
"Caltagirone",40353,37.24,14.51
"Caltanissetta",60258,37.5,14.05
"Viareggio",64517,43.89,10.24
"Florence",374479,43.78,11.24
"Campobasso",52162,41.57,14.65
"Cerignola",58034,41.27,15.88
"Lucca",82883,43.85,10.5
"Carbonia",30512,39.18,8.52
"Reggio nell'Emilia",162932,44.71,10.63
"Massa",70480,44.06,10.15
"Novara",103874,45.45,8.62
"Leghorn",155432,43.55,10.3
"Cassino",32535,41.5,13.82
"Treviso",83269,45.67,12.24
"Marsala",81469,37.81,12.43
"Catanzaro",94690,38.9,16.6
"Salerno",134191,40.68,14.77
"Celje",36945,46.24,15.27
"Cento",32638,44.74,11.27
"Fiumicino",58000,41.77,12.23
"Ravenna",146208,44.42,12.21
"Turin",873123,45.08,7.68
"Pescara",125829,42.46,14.21
"Venice",270277,45.43,12.33
"Chur",32499,46.86,9.53
"Latina",114601,41.47,12.89
"Citta di Castello",40104,43.46,12.23
"San Benedetto del Tronto",47028,42.96,13.87
"Civitavecchia",51311,42.09,11.78
"Collegno",51231,45.09,7.6
"Corigliano Calabro",39073,39.6,16.5
"Cosenza",68826,39.29,16.26
"Lodi",43726,45.32,9.5
"Cremona",71795,45.15,10.01
"Crotone",60690,39.09,17.12
"Cuneo",56333,44.39,7.54
"Nabul",61147,36.46,10.73
"Dornbirn",43177,47.42,9.74
"Pistoia",85569,43.94,10.91
"Naples",983614,40.85,14.27
"Fabriano",31164,43.34,12.89
"Forli",113031,44.22,12.03
"Pesaro",92394,43.92,12.91
"Monopoli",51414,40.95,17.28
"Ferrara",131805,44.84,11.61
"Foggia",154298,41.47,15.55
"Terni",111580,42.57,12.65
"Terracina",46139,41.3,13.24
"Modena",182175,44.65,10.92
"Francavilla Fontana",36309,40.53,17.58
"Fribourg",32553,46.81,7.14
"Frosinone",49055,41.65,13.35
"Gela",79879,37.08,14.21
"Geneva",179426,46.21,6.14
"Genoa",599064,44.42,8.93
"Gorizia",36888,45.94,13.62
"Graz",221260,47.08,15.42
"Grosseto",77009,42.77,11.1
"Gubbio",33081,43.35,12.57
"Guidonia",76908,42.02,12.68
"Susah",167901,35.84,10.64
"San Remo",60398,43.83,7.77
"Innsbruck",112084,47.28,11.41
"Jammal",40728,35.64,10.76
"Jarbah Hawmat-as-Suq",63313,33.88,10.85
"Jarjis",80530,33.51,11.11
"Senigallia",45152,43.72,13.21
"Jundubah",53088,36.5,8.77
"Karlovac",47868,45.5,15.54
"Klagenfurt",90688,46.62,14.31
"Ljubljana",254188,46.06,14.51
"L'Aquila",73142,42.35,13.39
"La Chaux-de-Fonds",36749,47.11,6.82
"La Spezia",95215,44.13,9.83
"Lamezia Terme",70218,38.95,16.29
"Lausanne",115916,46.52,6.62
"Lecce",94841,40.36,18.16
"Lecco",46966,45.86,9.41
"Linz",179789,48.31,14.29
"Luzern",56683,47.06,8.3
